DCLXXVIII,678
2133,MMCXXXIII
2113,MMCXIII
MMCCCLXXVIII,2378
564,DLXIV
374,CCCLXXIV
MCDLXX,1470
818,DCCCXVIII
MCLXXII,1172
2333,MMCCCXXXIII
497,CDXCVII
918,CMXVIII
CMXIV,914
XCIII,93
MCDLXXXIX,1489
847,DCCCXLVII
236,CCXXXVI
MDXCVIII,1598
420,CDXX
MDCLXXI,1671
MDCCXIV,1714
CXXII,122
,ERROR
MDV,1505
MMDXIX,2519
CMXXX,930
MDCXXXIV,1634
CCXIX,219
593,DXCIII
XXIX,29
DCCC,800
361,CCCLXI
MMCDXII,2412
2155,MMCLV
,ERROR
1050,ML
756,DCCLVI
2812,MMDCCCXII
1362,MCCCLXII
2881,MMDCCCLXXXI
CCCXXXIII,333
DXXXV,535
MCCLXXV,1275
457,CDLVII
1876,MDCCCLXXVI
MMVIII,2008
2403,MMCDIII
2823,MMDCCCXXIII
MDXLV,1545
MMCDLXVIII,2468
671,DCLXXI
CXCVII,197
MMDCLXX,2670
DCCCXCVIII,898
DCCLXXII,772
56,LVI
2811,MMDCCCXI
MMCCXXXI,2231
CDXXXVI,436
1698,MDCXCVIII
689,DCLXXXIX
DLXV,565
1031,MXXXI
1486,MCDLXXXVI
1846,MDCCCXLVI
MMLXXXVIII,2088
MMLIII,2053
1841,MDCCCXLI
MCXXVIII,1128
1834,MDCCCXXXIV
2698,MMDCXCVIII
1772,MDCCLXXII
1890,MDCCCXC
MCMXVIII,1918
DXVI,516
MDCCLV,1755
MMCDLXII,2462
MCXX,1120
DXCVII,597
MCCCXXXI,1331
DLXXVII,577
1104,MCIV
150,CL
2141,MMCXLI
 If g,ERROR
MMCCXXXVII,2237
1069,MLXIX
CXCVIII,198
DCCCXLVI,846
709,DCCIX
MDCCCV,1805
MCDXLVIII,1448
MMCLXIV,2164
CCCLXIII,363
MDL,1550
1074,MLXXIV
2723,MMDCCXXIII
1448,MCDXLVIII
101,CI
CMLXV,965
2930,MMCMXXX
820,DCCCXX
2640,MMDCXL
1128,MCXXVIII
MMDCCLV,2755
2598,MMDXCVIII
1917,MCMXVII
1540,MDXL
CMXLIII,943
MCMLXVII,1967
1870,MDCCCLXX
867,DCCCLXVII
MMDCCLXXXIV,2784
2577,MMDLXXVII
2547,MMDXLVII
1735,MDCCXXXV
DCLIII,653
2939,MMCMXXXIX
MMCMXC,2990
1366,MCCCLXVI
2776,MMDCCLXXVI
325,CCCXXV
CDXXXIV,434
MMDCCI,2701
1961,MCMLXI
1344,MCCCXLIV
850,DCCCL
1470,MCDLXX
MCCXCIV,1294
750,DCCL
766,DCCLXVI
MMDXV,2515
MDCLXXXIV,1684
MMDCCXCVI,2796
1029,MXXIX
2340,MMCCCXL
MMDCLIX,2659
MMCCCXLI,2341
688,DCLXXXVIII
668,DCLXVIII
1674,MDCLXXIV
CCCLXVII,367
CCXXV,225
2273,MMCCLXXIII
1993,MCMXCIII
1935,MCMXXXV
1670,MDCLXX
1710,MDCCX
MMCMLX,2960
947,CMXLVII
2101,MMCI
MDCCXXXVIII,1738
DCCXXXV,735
1168,MCLXVIII
MMCLXXXIII,2183
MCMVIII,1908
1399,MCCCXCIX
DCLIX,659
2682,MMDCLXXXII
MMDXXXVI,2536
1928,MCMXXVIII
MCDLI,1451
MMDCV,2605
DLXXIV,574
1739,MDCCXXXIX
MMDCCLXXX,2780
MMCMLXXV,2975
1271,MCCLXXI
MCMXXIX,1929
MDCCCLV,1855
743,DCCXLIII
660,DCLX
180,CLXXX
MMDCCCXLIV,2844
MCDLXXV,1475
MMCCCXVIII,2318
2946,MMCMXLVI
MMCCXLIV,2244
MMCMXIX,2919
2775,MMDCCLXXV
1449,MCDXLIX
MDCLXXIII,1673
26,XXVI
MCMXVII,1917
MDLXVIII,1568
MCXCIX,1199
1535,MDXXXV
MMDCLXXIV,2674
673,DCLXXIII
1405,MCDV
MMCCCLXII,2362
MMCDXXXV,2435
1549,MDXLIX
1677,MDCLXXVII
CCCLXXI,371
MCCXXXVI,1236
1083,MLXXXIII
MDCLXXVII,1677
1097,MXCVII
 2345 ,MMCCCXLV
654,DCLIV
2569,MMDLXIX
1585,MDLXXXV
1398,MCCCXCVIII
2989,MMCMLXXXIX
2299,MMCCXCIX
V,5
1309,MCCCIX
CMXLIV,944
DCLXV,665
1218,MCCXVIII
264,CCLXIV
2029,MMXXIX
337,CCCXXXVII
MMDCCXXXVII,2737
1695,MDCXCV
DCXCIX,699
254,CCLIV
MDCCVI,1706
MCCCLXXXII,1382
1746,MDCCXLVI
2850,MMDCCCL
DCCCVIII,808
MMCVI,2106
MMDCCXLV,2745
MDCXCVI,1696
2367,MMCCCLXVII
1175,MCLXXV
MMDLXXVII,2577
MXXXI,1031
173,CLXXIII
2670,MMDCLXX
MMDCCIV,2704
MCCCXIV,1314
MCMXL,1940
1401,MCDI
MMDLXVIII,2568
494,CDXCIV
MMDCCLXXXVIII,2788
1342,MCCCXLII
CCCXLII,342
MDCLVII,1657
MCDLX,1460
CCXXXV,235
1641,MDCXLI
CMXLVI,946
MMLV,2055
MDCCCXXII,1822
CXX,120
MCDXVI,1416
MCCCLXVI,1366
186,CLXXXVI
1555,MDLV
MMCCCLVI,2356
MMCCCLXXXVIII,2388
MMDCCCXI,2811
MCDLXXXI,1481
1061,MLXI
2204,MMCCIV
MMDCCCXXIII,2823
602,DCII
MDLIII,1553
1132,MCXXXII
DCCCXIV,814
645,DCXLV
DCCCLXVIII,868
CCCXIV,314
1041,MXLI
2071,MMLXXI
568,DLXVIII
1559,MDLIX
MMDCXLVI,2646
CCLXXV,275
CCXXXVI,236
CCLIV,254
1008,MVIII
1792,MDCCXCII
MMCLXXVIII,2178
2414,MMCDXIV
MMDCCLI,2751
2773,MMDCCLXXIII
819,DCCCXIX
392,CCCXCII
MDCLV,1655
LV,55
CMXCIX,999
2190,MMCXC
2034,MMXXXIV
82,LXXXII
3,III
1012,MXII
MDCXLIII,1643
1301,MCCCI
MMDXCV,2595
2900,MMCM
DCXXXV,635
2603,MMDCIII
MMDCCCLIX,2859
MDCXXXVII,1637
2706,MMDCCVI
319,CCCXIX
2898,MMDCCCXCVIII
MMDCXLIX,2649
MMCCXVI,2216
CCLVIII,258
DCCCLXXX,880
1208,MCCVIII
MMDLXII,2562
,ERROR
XLV,45
MMXX,2020
,ERROR
CCCLIX,359
CLXX,170
MMCCCLXXXIV,2384
MLXXI,1071
DCCCXCIII,893
1810,MDCCCX
MMCDXIII,2413
CXLVIII,148
2945,MMCMXLV
2714,MMDCCXIV
2840,MMDCCCXL
1450,MCDL
MCMXLV,1945
MDVIII,1508
2697,MMDCXCVII
CCXXVI,226
903,CMIII
DCCXCIX,799
MMX,2010
715,DCCXV
1240,MCCXL
95,XCV
CDXXIV,424
MDCCCII,1802
2648,MMDCXLVIII
112,CXII
1865,MDCCCLXV
2147,MMCXLVII
   ,ERROR
MMXXXIV,2034
2777,MMDCCLXXVII
144,CXLIV
MMCXXIX,2129
MMDCCLXIV,2764
623,DCXXIII
242,CCXLII
1749,MDCCXLIX
1430,MCDXXX
480,CDLXXX
1595,MDXCV
MMDCCCXCIX,2899
1915,MCMXV
CCXLIII,243
2312,MMCCCXII
2168,MMCLXVIII
2099,MMXCIX
2505,MMDV
1709,MDCCIX
2472,MMCDLXXII
MMCCXLIX,2249
2400,MMCD
CLXVI,166
1511,MDXI
CDVII,407
CCXCII,292
MMDCLVIII,2658
CXXXV,135
MMDCCCLX,2860
CCXCV,295
MMCLXXIX,2179
2070,MMLXX
MMDIII,2503
MMCCCXXXIV,2334
1278,MCCLXXVIII
MCDXLIII,1443
CCCLXII,362
2892,MMDCCCXCII
130,CXXX
MMXIII,2013
1067,MLXVII
,ERROR
MCCIV,1204
MMCCXI,2211
1951,MCMLI
161,CLXI
MCMLXXIV,1974
MCXCVII,1197
1620,MDCXX
CCXCVIII,298
MXVIII,1018
1182,MCLXXXII
CMLXXXV,985
MMXLVI,2046
1663,MDCLXIII
MMXVIII,2018
46,XLVI
DCXXIV,624
MCDXXXV,1435
MMLXXVII,2077
MXIII,1013
1959,MCMLIX
2381,MMCCCLXXXI
MMCXLIII,2143
MDCCCLXXVI,1876
CMLXIII,963
1733,MDCCXXXIII
CXXX,130
MMXVI,2016
MLXVIII,1068
MMDCXVIII,2618
MCCCIV,1304
2742,MMDCCXLII
MMDCCXXXII,2732
822,DCCCXXII
DCCCXCIX,899
2369,MMCCCLXIX
MDCVIII,1608
,ERROR
MCCV,1205
MMDCCCLXXIX,2879
1045,MXLV
1653,MDCLIII
1587,MDLXXXVII
MMDXLV,2545
2112,MMCXII
MMDCCLXVI,2766
2421,MMCDXXI
957,CMLVII
917,CMXVII
685,DCLXXXV
CMLX,960
MMDCXXXIII,2633
34,XXXIV
CDXLII,442
997,CMXCVII
DCCXLIV,744
MDXCIV,1594
MMCCXCVII,2297
MMCDIV,2404
2503,MMDIII
16,XVI
1811,MDCCCXI
2511,MMDXI
MCDXX,1420
215,CCXV
MMCXCIV,2194
1102,MCII
MCCXCIX,1299
2980,MMCMLXXX
2608,MMDCVIII
XCI,91
591,DXCI
MMDI,2501
1326,MCCCXXVI
MCCXIII,1213
MMCLVII,2157
MMDLXIV,2564
MDVII,1507
1654,MDCLIV
972,CMLXXII
DCLXXXIV,684
DCCCXV,815
2287,MMCCLXXXVII
MDLXV,1565
MDCXXXIX,1639
365,CCCLXV
,ERROR
DVI,506
XLVIII,48
MCDLXXVI,1476
MDCLXXIX,1679
CCCXXXVIII,338
1498,MCDXCVIII
DCCII,702
727,DCCXXVII
MMDLXXIX,2579
1657,MDCLVII
DXV,515
2783,MMDCCLXXXIII
MDCLIII,1653
1967,MCMLXVII
2188,MMCLXXXVIII
1197,MCXCVII
MDLX,1560
2368,MMCCCLXVIII
MMDCVII,2607
2889,MMDCCCLXXXIX
1082,MLXXXII
CCXXXIV,234
1231,MCCXXXI
2302,MMCCCII
DXXVIII,528
1909,MCMIX
MMDCCCXLI,2841
MCDIII,1403
DCCLXXXVIII,788
2161,MMCLXI
MMDCCCXXVI,2826
MDCCXVII,1717
MMCMVII,2907
1843,MDCCCXLIII
MCDLXVII,1467
306,CCCVI
2981,MMCMLXXXI
1494,MCDXCIV
MCXCV,1195
MMCCII,2202
2935,MMCMXXXV
CCCXXIV,324
CCCX,310
MCMLXXVI,1976
MCCXXIII,1223
CDXCV,495
MDCCCXIV,1814
 lD0,ERROR
2868,MMDCCCLXVIII
2896,MMDCCCXCVI
2348,MMCCCXLVIII
1187,MCLXXXVII
XV,15
2098,MMXCVIII
225,CCXXV
MMDCCLXV,2765
MMDLIX,2559
104,CIV
1525,MDXXV
CDXCIII,493
511,DXI
1812,MDCCCXII
2320,MMCCCXX
MMCMLXIII,2963
MDCCL,1750
CMXL,940
85,LXXXV
MMCCCLXI,2361
MMDCCXXVIII,2728
DXCIII,593
2628,MMDCXXVIII
105,CV
1063,MLXIII
MCXLIII,1143
1808,MDCCCVIII
1206,MCCVI
1214,MCCXIV
MCCCLXXIX,1379
MMDCCXLVI,2746
DCCCXVII,817
2673,MMDCLXXIII
MMLII,2052
199,CXCIX
1997,MCMXCVII
2341,MMCCCXLI
608,DCVIII
2181,MMCLXXXI
557,DLVII
DCXC,690
MCL,1150
DCCCLIII,853
1073,MLXXIII
MXCV,1095
2003,MMIII
MDLXVI,1566
1402,MCDII
XLVI,46
CCCXLIII,343
DCLXXIV,674
455,CDLV
MCCCXXXVIII,1338
MCCXLVIII,1248
MMCLXXX,2180
807,DCCCVII
MLXXIII,1073
1883,MDCCCLXXXIII
MCMLXVI,1966
1247,MCCXLVII
MDLXXI,1571
MMIV,2004
MMCXXXII,2132
798,DCCXCVIII
72,LXXII
DXLII,542
MMDCCCLXXVII,2877
978,CMLXXVIII
CCXL,240
1665,MDCLXV
1274,MCCLXXIV
MCCCLXI,1361
MMDCCCLXX,2870
MMLXXV,2075
2828,MMDCCCXXVIII
1217,MCCXVII
791,DCCXCI
2042,MMXLII
605,DCV
MXCI,1091
MCLXVI,1166
CDXIII,413
MDCCXIII,1713
MMDCLI,2651
1628,MDCXXVIII
MCCCXXXV,1335
